ts_utc,symbol,reason,extra
2025-09-28T06:10:24+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0328, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:10:24+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:10:25+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0538, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:10:25+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:10:25+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0080, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:10:26+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:10:31+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0331, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:10:32+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:10:32+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0542, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:10:32+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:10:33+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0080, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:10:33+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:10:38+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0331, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:10:39+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:10:39+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0542, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:10:40+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:10:40+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0081, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:10:40+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:10:46+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0331, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:10:46+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
2025-09-28T06:10:46+00:00,SOLUSDT,main_ema_guard,"dist_pct=-0.0543, slope=-0.0022, neutral_band=0.0058"
2025-09-28T06:10:47+00:00,SOLUSDT,vol_fail,"bbw=0.0049, mult=1.05"
2025-09-28T06:10:47+00:00,BNBUSDT,main_ema_guard,"dist_pct=-0.0083, slope=-0.0003, neutral_band=0.0043"
2025-09-28T06:10:47+00:00,BNBUSDT,vol_fail,"bbw=0.0091, mult=1.05"
2025-09-28T06:10:53+00:00,ETHUSDT,main_ema_guard,"dist_pct=-0.0333, slope=-0.0014, neutral_band=0.0043"
2025-09-28T06:10:53+00:00,ETHUSDT,vol_fail,"bbw=0.0047, mult=1.05"
